baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol,cluster
2.225839793449335,1.3970143235550645,0.6010103266204396,2.3244431279752886,0.02010175634441239,0.30130675333988577,AL669831.5,all_t
5.22558843541479,0.2988456004933428,0.4029166020662071,0.7417058492026015,0.4582655751216092,0.8665693709383586,NOC2L,all_t
43.80537713221031,-0.6561880399878309,0.4712853815774164,-1.39233692713221,0.1638203942825815,0.6746014291004298,ISG15,all_t
7.27559324192713,0.5701756597585158,0.5823116404939612,0.9791589590667452,0.32750144351103455,0.7980197044401971,TNFRSF18,all_t
14.163760745665082,0.13344691566807362,0.4068119763097855,0.3280309416614972,0.7428882677920866,0.9549004034200369,TNFRSF4,all_t
10.883313474892608,0.07046213224643334,0.37802214651872235,0.18639683652223152,0.8521335730492605,0.9779538739360403,SDF4,all_t
6.202310424547113,0.07647042651078369,0.4225740744609497,0.18096336508180735,0.8563963316362465,0.9787141051129506,UBE2J2,all_t
1.9143240187066093,0.36920531285226404,0.6432469727927536,0.5739713181226546,0.5659872104189065,0.907370598188976,PUSL1,all_t
5.629649143592381,-0.10217562090750454,0.427971098477625,-0.23874420789385722,0.8113039348406005,0.9701528799279864,INTS11,all_t
30.09872225892488,0.39611830599328257,0.34945324819685974,1.1335373416535957,0.25698866903545986,0.7593066834532836,AURKAIP1,all_t
5.439714782249677,-0.24147919769389575,0.4900333469532617,-0.4927811529465719,0.6221672290961126,0.9262399937074242,CCNL2,all_t
20.728870088808492,0.07487422682169695,0.298653092417149,0.25070635035352334,0.8020411505848914,0.9701528799279864,MRPL20,all_t
13.369499804266326,-0.09444963838576056,0.4069177996253025,-0.23210987200051597,0.8164526774988707,0.9707661978203707,SSU72,all_t
7.094201124195318,0.18982059583981145,0.5030580636113028,0.37733337276644846,0.7059258741384556,0.9452592023428663,MIB2,all_t
2.447535804437132,0.15050413843325142,0.9651595709140351,0.15593705224382687,0.8760826390724725,0.9859750452030119,MMP23B,all_t
4.5133243098917895,0.03814332700505625,0.4372663228109762,0.08723133938111453,0.9304876290710514,0.9927659732383057,CDK11B,all_t
2.8070331363307814,0.15073814832299262,0.6271168085124966,0.24036694006103784,0.8100458050073515,0.9701528799279864,SLC35E2B,all_t
5.126950496620224,-0.1826858822255225,0.5690017069281378,-0.321063856225997,0.7481619999942446,0.9562357335775495,CDK11A,all_t
11.73218252487904,-0.09589931514850968,0.4262437808936316,-0.22498701317695283,0.8219893772668906,0.9716058022976338,GNB1,all_t
12.83536551661002,0.2269766431554994,0.3850067826306459,0.5895393364361795,0.5554995324842195,0.9010175373565639,FAAP20,all_t
2.538164104424488,0.4344535637910277,0.528613584291421,0.8218736269772372,0.4111488242576577,0.8366242521842515,SKI,all_t
15.796590374516889,0.46677692569617085,0.3181118054144503,1.467336067858384,0.14228465669532353,0.6517416754467631,RER1,all_t
3.206165952198511,0.08578922854212478,0.6345145027786426,0.13520451962317606,0.8924501737658534,0.9863200626179395,AL139246.5,all_t
19.22386808962411,0.48146432187039073,0.29943311298864206,1.6079194350447588,0.10785282471012828,0.6099030930500214,TNFRSF14,all_t
3.045181594698075,0.10238250893176824,0.5179484442904478,0.1976693048514219,0.8433038069961442,0.9762252863779364,WRAP73,all_t
2.134018487648776,-0.49439211753415147,0.632384177713625,-0.7817907768053565,0.4343375423145981,0.8508850679248008,LRRC47,all_t
4.836781610624325,-0.18453682365741922,0.4082524697993572,-0.45201642931422575,0.651257146743736,0.9348624522233667,C1orf174,all_t
12.173457986030972,0.6922682033710229,0.40767404096041554,1.6980924312476422,0.08949031787752482,0.5683906654984227,KCNAB2,all_t
200.34447310738543,-0.5154777473896023,0.27322241908916145,-1.8866597737771473,0.05920610146591076,0.48565401967588506,RPL22,all_t
4.08964102206981,1.3634927279757338,0.5779331908525679,2.3592566572691687,0.018311586146647258,0.29014980869585044,ACOT7,all_t
6.195541055259135,0.052379327116313656,0.6416082360552754,0.0816375541535304,0.9349349370548923,0.9932500467042094,TNFRSF25,all_t
2.7071692246455177,0.038390107182069276,0.5536243628143915,0.06934324021961434,0.944716407832541,0.9932500467042094,NOL9,all_t
1.9333879553857984,0.07068152901985382,0.648409696485129,0.10900751392676755,0.9131965306012899,0.9896005916322409,KLHL21,all_t
2.691569231654864,0.7290006209897457,0.5330530732984389,1.3675948184273994,0.1714389392733724,0.6867645444306687,THAP3,all_t
11.950865199720166,0.07082631939894049,0.4150479556904785,0.17064611071535823,0.864502038552564,0.9813950288611014,CAMTA1,all_t
3.4509799410833915,0.3030726263402756,0.5537345226816857,0.5473247809663783,0.5841556218134802,0.9157155111671105,VAMP3,all_t
5.140438072231617,1.0008654746770225,0.7379608327699841,1.3562582595612949,0.17501701116434418,0.6906178590168328,TNFRSF9,all_t
53.352085008036504,0.04136818205193082,0.3118360023756373,0.1326600576481825,0.8944622329681362,0.9863400889021903,PARK7,all_t
2.1250751953319438,-1.9894216510319593,0.7704414521828984,-2.5821840782259495,0.009817720335194612,0.22094763305849932,ERRFI1,all_t
4.218022696765518,-0.12373257589234482,0.46491139117895913,-0.2661422762272483,0.790129636991487,0.9664091964301805,RERE,all_t
45.117918396027726,-0.37778030241763166,0.38265157947061007,-0.9872696800057177,0.32351045033480774,0.7945710657771973,ENO1,all_t
7.4990370070197425,0.9623386372867374,0.41941039713525846,2.294503531290347,0.021761592458034287,0.3138834812766149,PIK3CD,all_t
3.094137612325381,0.07551578755183717,0.51476387355192,0.14669985877363734,0.8833689300809391,0.9862340512533723,CLSTN1,all_t
